"Interval","Src","Destination"
1.294158000,52.88.214.233,172.16.0.66,6
0.199796000,192.168.0.228,172.16.0.66,6
0.586669000,192.168.0.228,172.16.0.66,6
0.862657000,172.16.0.180,172.16.1.255,17
0.198586000,192.168.0.228,172.16.0.66,6
0.087916000,172.16.0.180,172.16.1.255,17
0.756786000,172.16.0.180,172.16.1.255,17
0.294955000,172.16.0.96,172.16.1.255,17
0.343887000,172.16.0.180,172.16.1.255,17
0.000017000,172.16.0.137,173.194.154.40,6
0.000405000,173.194.154.40,172.16.0.137,6
0.000172000,173.194.154.40,172.16.0.137,6
0.000230000,173.194.154.40,172.16.0.137,6
0.000172000,173.194.154.40,172.16.0.137,6
0.000230000,173.194.154.40,172.16.0.137,6
0.000015000,172.16.0.137,173.194.154.40,6
0.000872000,173.194.154.40,172.16.0.137,6
0.000017000,172.16.0.137,173.194.154.40,6
0.000405000,173.194.154.40,172.16.0.137,6
0.000172000,173.194.154.40,172.16.0.137,6
0.000230000,173.194.154.40,172.16.0.137,6